Air_Temp_Avg,Relative_Humidity_Avg,Wind_Speed_10m_Avg,Heating_kWh,Electricity_kWh,Cooling_kWh,Natural_Gas_kWh,Domestic_Water_m3
-1.2,90.3,9.1,16244.45744,13240.10000000149,4920.6632653,1319.4455,6.39
-2.9,94.8,13.4,17772.23644,13108.559999998659,4882.564026200001,1413.89002,49.96
-3.3,81.7,9.0,16852.79126,13307.63000000082,5163.912253400001,1288.88992,101.98
-2.2,82.2,8.4,15450.01236,12917.940000001341,5117.0208822,1422.2233600000002,110.85
-0.9,72.4,4.5,13422.232960000001,10770.249999998137,5225.4571780999995,1413.89002,106.5
1.5,64.0,5.5,11633.34264,10623.759999997914,5243.0414423,1380.55666,94.6
2.0,66.0,6.4,11255.564560000003,11013.11000000313,5178.565806900001,1327.7788400000002,93.07
-1.8,89.1,15.0,15102.78986,13130.410000000149,5187.357939,1341.66774,99.34
-3.9,89.4,11.2,18547.23706,12965.900000000373,5313.3784991,1272.22324,106.82
-2.2,90.4,13.7,16936.12466,13287.640000000596,5459.9140341,1305.5566000000001,111.36
0.6,78.6,9.7,14272.233640000002,12903.919999998063,5442.3297699,1244.4454400000002,94.27
5.5,63.8,27.4,10219.45262,11309.640000000596,5319.2399205,1216.6676400000001,108.24
-1.4,80.7,16.1,15433.345680000002,11046.539999999106,5676.786625900001,1244.4454400000002,94.08
2.7,57.2,10.3,12605.56564,13375.379999998957,5134.6051464,1236.1121,94.76
10.8,39.7,15.2,7911.117440000001,13900.050000000745,5310.447788400001,1255.55656,51.86
9.7,42.6,8.2,7652.7839,13740.799999998882,9176.0552017,1341.66774,19.9
11.6,32.5,7.9,5794.44908,13641.5800000038,7402.975228200001,1244.4454400000002,7.34
11.5,31.4,10.1,5705.56012,13419.169999998063,5653.3409403000005,1213.8898600000002,14.44
5.4,57.7,7.6,6672.22756,11447.119999997318,5248.9028637,1141.6675800000003,10.27
8.7,51.0,10.8,5666.6712,11654.820000004023,4973.4160579,1111.112,12.71
3.5,61.9,6.8,6886.116620000001,13777.070000000298,5354.408448900001,1119.4453400000002,2.91
3.4,61.6,10.7,7616.672760000001,13574.189999995753,5547.8353551,1111.112,9.17
5.0,58.4,5.0,7927.78412,13154.300000000745,5498.013273200001,1172.22316,6.14
8.2,55.2,11.7,8511.11792,13508.660000002012,5788.153632500001,1180.5565000000001,13.25
7.6,47.4,13.4,9977.78576,13139.240000000224,5225.4571780999995,1183.33428,8.94
7.2,57.8,13.2,10341.674939999999,10973.999999998137,5363.200581000001,1147.22314,7.7
5.8,47.8,16.2,11608.342620000001,11063.300000000745,5202.011492500001,1200.00096,0.09
5.1,53.2,13.0,11777.7872,13139.720000002533,5228.3878888,1288.88992,7.11
4.7,49.5,9.5,10019.45246,13720.339999999851,5108.2287501,1241.66766,8.5
5.3,40.1,15.8,12461.12108,13458.079999998212,5483.359719700001,1188.88984,13.04
5.4,41.5,14.1,12397.232140000002,13574.390000000596,5313.3784991,1127.77868,15.84
2.6,66.2,20.7,13280.566180000002,13240.0,5823.322160900001,0.0,19.64
0.5,87.8,14.4,14811.12296,11285.85000000149,5738.3315506,0.0,12.48
4.1,65.6,12.1,13183.34388,12006.53999999538,5366.1312917,0.0,3.19
4.8,63.1,18.0,14141.67798,13164.000000001863,5653.3409403000005,0.0,0.19
-5.6,78.8,17.2,19547.23786,13511.280000001192,5544.9046444000005,0.0,19.51
-8.7,85.3,6.3,22169.462180000002,13230.98999999836,5058.406668200001,0.0,11.1
-8.0,74.0,8.4,21608.350620000005,13338.740000002086,5058.406668200001,0.0,15.42
-8.8,70.4,8.4,21422.239360000003,12869.339999999851,4988.0696114,0.0,14.71
-1.6,73.6,15.0,15427.790120000001,11000.279999997467,5011.515297000001,0.0,18.09
-0.6,73.2,19.4,14444.456000000002,10929.910000003874,4917.732554600001,0.0,0.84
-3.6,85.5,11.1,17247.236020000004,11332.459999999031,5020.3074291,0.0,0.02
-1.5,70.5,8.9,15369.456740000001,12431.099999997765,4703.790673500001,0.0,0.97
7.4,38.6,15.0,9550.007640000002,12798.180000001565,4513.294478000001,0.0,13.44
6.8,47.0,18.1,9483.34092,12572.349999999627,4903.079001100001,0.0,7.75
1.9,62.9,6.8,11480.56474,12737.679999999702,4917.732554600001,0.0,4.9
-8.5,85.2,19.9,21116.68356,11118.749999998137,4568.9779813000005,0.0,9.28
-8.7,71.0,7.5,19758.34914,11034.010000003502,4791.7119945,0.0,7.37
2.5,68.5,14.0,12472.2322,13102.979999996722,4642.2457488,0.0,1.12
2.8,69.5,7.2,12061.120760000002,13447.500000001863,4794.6427052,0.0,5.72
6.3,42.1,13.5,10255.563760000001,13189.729999998584,4797.5734159,0.0,7.08
3.1,44.1,6.5,11325.009060000002,13461.050000002608,4736.028491200001,0.0,12.68
3.0,55.8,7.2,11752.787180000001,12958.089999999851,4733.0977805,0.0,8.63
-2.4,87.4,9.8,15486.123500000002,10967.23999999836,4568.9779813000005,0.0,6.92
-6.6,90.1,8.0,16363.90198,10871.889999998733,4475.1952389,0.0,1.84
-5.2,73.2,6.3,15786.12374,13093.179999999702,4797.5734159,0.0,6.75
-0.7,77.9,7.5,12886.121420000001,13682.480000000447,4683.2756986,0.0,5.91
6.1,56.7,15.2,11041.675500000001,13375.330000001937,4903.079001100001,0.0,5.89
4.0,44.5,13.5,11827.78724,13630.790000000969,4876.702604800001,0.0,8.3
-0.6,54.8,5.5,14252.789180000002,12940.5,4955.8317937,0.0,18.62
-4.5,74.6,4.0,16055.5684,10951.469999996945,4949.9703723,0.0,6.01
-3.8,86.3,14.4,16277.7908,10809.760000003502,4859.1183406,0.0,2.49
-4.0,86.0,16.4,16544.457680000003,12891.279999997467,4873.7718941,0.0,0.01
-5.2,78.3,7.7,18502.79258,13120.009999999776,4777.058441,0.0,12.32
-5.1,60.3,13.1,18694.4594,12871.009999999776,4973.4160579,0.0,8.88
-8.7,76.8,16.1,22466.68464,13092.10000000149,4750.682044700001,0.0,7.08
-12.0,66.7,5.9,23644.46336,12781.050000000745,4935.3168188,0.0,4.73
-8.7,61.5,4.3,19911.127040000003,11015.419999999925,5061.337378900001,0.0,12.25
-6.3,52.2,7.3,18575.014860000003,10988.11999999918,4771.197019600001,0.0,0.04
0.2,46.2,10.6,14891.678580000002,12445.410000000149,4621.7307739,0.0,0.98
3.2,46.8,17.3,12322.232080000002,12453.200000001118,4791.7119945,0.0,3.67
-1.6,53.8,9.6,14872.234120000001,12218.329999998212,4958.762504400001,0.0,8.89
-0.3,51.1,17.4,13833.3444,12311.800000002608,5146.3279892,0.0,2.3
-0.9,54.1,9.4,13158.34386,12597.839999999851,5114.0901715,0.0,1.71
3.2,47.5,13.2,10102.78586,11054.94999999553,4999.7924542,0.0,3.5
0.0,58.2,15.5,12786.121340000002,10665.750000003725,5090.6444859,0.0,6.71
-3.2,71.4,10.1,15152.7899,12656.329999998212,5020.3074291,0.0,0.02
0.9,60.6,14.3,11838.898360000001,12556.420000001788,5023.238139800001,0.0,2.83
1.9,57.0,12.2,11638.8982,12655.26999999769,5032.030271900001,0.0,3.38
2.1,44.5,14.6,11955.565120000001,12391.629999998957,4853.2569192,0.0,10.65
2.1,55.6,18.0,11436.120260000002,11976.120000004768,4809.2962587,0.0,3.4
0.8,49.0,20.3,12836.12138,10699.939999997616,4876.702604800001,0.0,2.37
-6.4,58.4,11.4,17016.68028,10554.38000000082,4961.6932151,0.0,0.01
-3.4,60.2,11.4,15444.456800000002,10789.789999997243,4888.425447600001,0.0,6.67
-8.4,79.6,6.7,18311.125760000003,10860.700000001118,4879.6333155,0.0,0.01
-6.0,85.0,7.3,17277.7916,10837.450000001118,5020.3074291,0.0,0.01
-7.5,91.6,9.1,18694.4594,10863.849999999627,4979.2774793,0.0,0.59
-7.7,87.0,8.0,19094.45972,10800.030000001192,4850.326208500001,0.0,6.7
-5.8,61.7,9.5,17961.12548,10628.479999998584,4381.4124965,0.0,0.62
1.0,55.0,13.0,12816.676920000002,10497.180000001565,4557.255138500001,0.0,0.0
-7.0,78.2,24.3,19133.34864,10768.749999996275,4692.067830700001,0.0,0.01
-12.4,73.6,10.4,23016.685080000003,10850.730000000447,4542.601585,0.0,6.77
0.6,50.0,13.0,14030.566780000001,12166.019999999553,4478.1259496,0.0,0.01
7.5,43.6,23.9,8691.67362,12005.350000003353,4615.8693525,0.0,1.84
4.1,58.0,10.9,9933.34128,11876.569999996573,4387.273917900001,0.0,1.51
1.1,66.0,18.7,11463.898060000001,10598.960000000894,4554.3244278,0.0,10.43
-7.6,92.1,5.6,17419.45838,10618.960000000894,4721.3749377,0.0,0.0
-3.3,80.1,11.1,15236.123300000001,12136.080000000075,4750.682044700001,0.0,0.01
-8.8,78.2,8.8,20163.905020000002,11997.27999999933,4774.1277303,0.0,4.57
-9.7,63.8,12.6,22008.350940000004,12261.88000000082,4422.4424463000005,0.0,8.84
-8.6,75.9,9.2,20441.683020000004,12497.700000001118,4475.1952389,0.0,5.43
-4.4,71.2,8.4,16136.124020000003,12439.209999999031,4636.3843274,0.0,4.41
-1.9,63.0,7.4,14730.567340000001,11279.190000001341,4504.5023459,0.0,2.73
3.6,40.3,7.8,12088.898560000001,10862.579999998212,4589.492956200001,0.0,7.07
-0.2,48.4,7.8,13369.455140000002,12685.740000000224,4527.9480315,0.0,1.22
-1.7,60.6,6.0,14258.34474,12996.60000000149,4413.6503142,0.0,3.8
-6.4,88.1,8.6,19102.79306,12835.509999999776,4583.631534800001,0.0,5.81
-6.6,92.7,4.2,19802.793620000004,13199.14999999851,4598.2850883,0.0,10.4
-13.9,87.1,7.3,26608.354620000002,12839.47000000067,5061.337378900001,0.0,3.73
-16.4,85.0,12.3,28027.800200000005,11087.979999998584,5474.5675876000005,0.0,5.41
-9.7,73.8,12.4,21150.016920000002,10820.400000002235,5345.6163168,0.0,0.02
-2.9,54.3,7.0,16211.124080000001,12793.999999998137,5421.814795,0.0,7.1
-6.0,64.8,6.8,18983.348520000003,13474.780000001192,5401.2998201,0.0,5.28
-1.7,47.8,21.6,16547.23546,13215.370000001043,5530.2510909,0.0,7.46
-9.0,77.6,15.3,22916.685,13567.229999998584,5319.2399205,0.0,8.07
-8.0,74.5,9.8,21530.572780000002,12986.280000001192,5430.606927100001,0.0,18.95
-1.3,72.2,9.9,15083.3454,11505.839999997988,5515.597537400001,0.0,3.11
4.1,53.9,13.5,9997.230220000001,11113.710000002757,5207.872913900001,0.0,0.0
1.6,64.7,31.6,13408.344060000001,13147.059999998659,4941.1782402,0.0,0.61
-6.3,63.6,13.2,19672.23796,13825.859999999404,5117.0208822,0.0,10.06
-8.6,70.1,7.1,21802.79522,13574.009999999776,5117.0208822,0.0,7.94
-1.2,60.4,6.0,14236.122500000001,13928.450000001118,4838.603365700001,0.0,8.89
-0.5,73.3,7.5,14408.344860000001,13159.359999997541,5149.2586999000005,0.0,10.34
-12.3,88.0,14.3,25477.798160000002,10982.48000000231,4542.601585,0.0,15.96
-19.4,80.2,17.1,28605.578440000005,10516.580000000075,4516.2251887,0.0,0.38
-26.2,67.0,16.6,35561.13956,12473.52999999933,4401.9274714,0.0,0.02
-26.7,65.4,8.3,38586.14198,13209.86999999918,4527.9480315,0.0,8.1
-25.8,71.1,9.8,39652.8095,12973.140000002459,4636.3843274,0.0,19.34
-22.3,71.0,7.0,35877.80648,13501.109999999404,4516.2251887,0.0,8.96
-18.7,73.4,6.9,33977.80496,12449.300000000745,4671.5528558000005,0.0,11.86
-18.9,75.5,17.1,32688.915040000004,10639.969999998808,4237.8076722000005,0.0,8.1
-26.4,68.8,14.0,35830.584220000004,10560.839999997988,4343.3132574,0.0,6.52
-26.8,70.3,12.5,36666.696,12530.470000002533,4504.5023459,0.0,0.63
-23.7,68.6,10.0,35522.25064,13060.300000000745,4507.433056600001,0.0,3.32
-22.0,73.3,6.2,34775.02782,12844.829999998212,4777.058441,0.0,8.14
-20.4,76.4,8.9,32538.914920000003,13023.299999998882,4744.820623300001,0.0,13.81
-19.4,74.5,9.4,31036.135940000004,12593.750000001863,4844.464787100001,0.0,6.42
-19.3,76.9,10.3,31455.58072,10708.570000000298,4718.444227000001,0.0,8.28
-16.7,77.3,27.3,28441.689420000002,10612.969999996945,4513.294478000001,0.0,0.04
-17.9,75.6,20.0,29461.134680000003,10836.700000001118,4460.5416854000005,0.0,7.07
-19.9,73.7,10.1,29630.579260000002,12269.230000000447,4419.5117356,0.0,0.25
-8.4,69.7,8.3,22075.01766,11810.030000001192,4744.820623300001,0.0,3.64
-6.7,80.8,19.4,21330.572620000003,11559.01999999769,4659.830013000001,0.0,2.01
-14.7,71.2,13.4,26386.13222,11510.000000001863,4733.0977805,0.0,8.72
-6.9,50.6,12.5,20750.016600000003,10924.979999998584,4850.326208500001,0.0,1.87
-14.9,76.8,19.8,26213.909860000003,10731.650000000373,4610.007931100001,0.0,0.63
-19.8,73.2,11.0,28872.24532,12399.229999998584,4724.305648400001,0.0,0.02
-24.0,72.2,6.2,33302.80442,13254.580000000075,4633.453616700001,0.0,9.5
-19.0,63.0,7.4,31786.136540000003,12991.640000004321,4806.365548,0.0,6.58
-12.6,52.0,6.4,26247.24322,13062.359999997541,4932.3861081,0.0,6.27
-8.9,64.8,11.2,23188.907440000003,12550.919999999925,5137.535857100001,0.0,8.95
-19.7,69.8,16.7,31966.69224,10913.900000002235,4762.404887500001,0.0,13.94
-26.1,62.8,7.0,34619.47214,10736.459999997169,4853.2569192,0.0,0.62
-21.8,54.7,5.1,31791.692100000004,12740.690000001341,4894.2868690000005,0.0,0.03
-17.1,52.5,7.0,29391.69018,13347.789999999106,4900.1482904,0.0,11.03
-14.6,55.2,5.7,27641.688780000004,12816.460000002757,5023.238139800001,0.0,15.74
-17.8,75.6,15.8,29175.023340000003,13305.529999997467,4862.0490513,0.0,6.67
-13.3,75.6,13.2,26341.68774,12446.949999999255,4765.335598200001,0.0,17.98
-8.0,76.1,6.0,21927.79532,10516.070000000298,4642.2457488,0.0,7.48
-6.5,60.8,9.3,19222.2376,10012.639999998733,4589.492956200001,0.0,7.06
-6.7,55.2,8.8,18775.015020000003,12465.890000000596,4510.3637673,0.0,0.37
4.5,39.8,19.8,12850.01028,13292.030000003055,4941.1782402,0.0,5.99
0.6,66.0,13.9,16383.346440000001,12686.269999995828,4859.1183406,0.0,8.44
-2.6,70.1,10.8,17669.458580000002,13055.500000003725,5075.9909324,0.0,12.22
-3.2,56.1,10.8,18719.459420000003,12341.559999996796,5213.7343353,0.0,3.61
0.0,55.9,15.6,15405.56788,10419.11000000313,5289.9328135000005,0.0,10.67
-1.9,63.1,6.5,15497.234620000001,10332.999999998137,4844.464787100001,0.0,2.0
1.7,59.4,7.4,13252.788380000002,12553.860000001267,4838.603365700001,0.0,7.38
4.4,46.4,8.0,11602.787060000002,12959.51999999769,5240.1107316,0.0,4.36
5.9,50.7,5.3,10119.45254,12697.670000001788,4035.5886339000003,0.0,12.33
6.1,54.8,5.9,9433.340880000002,13101.35000000149,5861.4214,0.0,8.93
5.2,65.2,9.5,9508.34094,12481.129999998957,5533.1818016,0.0,13.94
5.6,68.4,6.5,9569.452100000002,10727.349999997765,5254.7642851,0.0,7.63
3.0,77.4,13.0,10652.786300000002,10602.370000001043,4724.305648400001,0.0,0.74
0.0,95.2,11.8,14444.456000000002,12650.589999999851,4856.1876299000005,0.0,0.0
2.0,85.6,12.4,13241.677260000002,12894.85000000149,5102.3673287,0.0,9.66
4.1,74.3,14.1,11675.00934,12637.550000000745,4879.6333155,0.0,4.23
1.2,80.8,14.1,14452.789340000001,12987.759999999776,5289.9328135000005,0.0,5.99
1.3,67.5,13.9,14319.4559,12264.279999997467,5231.3185995,0.0,3.79
2.6,58.8,8.3,12658.343460000002,10511.700000001118,4873.7718941,0.0,8.58
5.1,48.9,15.8,10858.342020000002,10290.929999999702,4653.968591600001,0.0,0.75
3.9,58.6,14.7,11405.564680000001,12560.839999999851,4694.9985414,0.0,0.0
3.3,60.6,16.7,12938.89924,12945.980000000447,5105.298039400001,5666.6712,3.21
3.3,54.9,11.7,13222.232800000002,12990.080000000075,5046.6838254,5491.671060000001,8.47
4.5,47.9,10.5,12191.676420000002,13044.510000003502,4689.13712,5413.89322,3.09
6.7,52.0,14.0,10013.8969,12628.269999995828,4911.871133200001,5625.0045,3.57
3.9,71.3,15.7,11277.786800000002,11526.17000000365,4894.2868690000005,5613.89338,2.27
6.3,48.2,20.8,9622.229920000002,10485.719999996945,4703.790673500001,5597.2267,4.82
6.2,38.0,13.6,9491.674260000002,11095.640000002459,4727.2363591,5566.67112,0.72
6.3,35.6,11.0,9986.119100000002,12317.449999999255,3798.2010672000006,5563.8933400000005,2.29
5.0,41.9,10.1,10116.674760000002,12462.320000000298,4876.702604800001,7469.450420000001,3.43
5.9,54.2,13.9,9827.785640000002,12189.889999998733,5011.515297000001,5586.115580000001,7.56
2.2,85.0,12.7,12850.01028,11776.870000001043,5175.635096200001,8758.34034,2.45
1.9,73.8,12.5,12888.8992,11144.150000000373,4941.1782402,5497.22662,1.66
4.8,49.3,9.7,10925.008740000001,10285.659999998286,4768.2663089,5413.89322,0.71
4.2,54.5,15.7,11197.23118,10860.550000000745,4586.5622455,5413.89322,6.27
3.0,48.9,6.7,11763.8983,11687.019999999553,4741.889912600001,5391.670980000001,1.21
4.5,43.3,8.1,10941.675420000001,11362.800000000745,4267.1147792,5475.00438,1.06
7.5,33.7,15.8,8733.340320000001,10946.060000000522,5486.2904304,5477.78216,1.1
10.0,43.2,12.6,7483.339320000001,10553.169999999925,9225.8772836,5536.115540000001,5.78
5.9,70.3,14.2,10680.564100000001,10193.980000000447,4700.8599628,5383.33764,0.17
5.0,58.8,9.5,11038.89772,10013.400000000373,4586.5622455,5316.6709200000005,0.68
8.3,41.3,10.1,9475.007580000001,10255.519999999553,8534.2295584,5397.226540000001,0.03
10.4,32.1,15.2,7902.784100000001,11168.23999999836,8411.139709000001,5483.3377199999995,7.14
11.6,35.0,17.0,7152.7835000000005,11154.209999999031,4885.494736900001,5552.78222,0.48
6.2,45.7,15.6,9822.230080000001,11007.379999998957,4999.7924542,5608.337820000001,5.7
5.5,34.4,9.8,10316.674920000001,11005.490000003949,5032.030271900001,5605.56004,4.59
4.3,44.4,16.7,10830.564220000002,10680.999999998137,4821.0191015,5608.337820000001,8.86
0.7,87.2,27.0,14061.122360000001,9921.07000000216,4835.672655,5463.893260000001,0.83
-1.5,71.6,18.4,15716.679240000001,10144.569999998435,4281.7683327,5369.44874,0.01
-0.4,63.4,7.1,15150.012120000001,10640.959999999031,4440.0267105,5383.33764,6.25
-0.7,70.2,14.1,15763.901500000002,10595.180000001565,4601.2157990000005,5411.1154400000005,7.51
2.0,62.3,13.6,13658.344260000002,10959.269999999553,4501.5716352,5327.78204,4.68
3.0,71.6,15.6,12463.89886,10393.980000000447,4542.601585,5377.78208,3.05
2.6,74.6,16.9,12480.565540000001,9713.730000000447,4703.790673500001,5402.7821,1.92
-1.4,89.3,11.8,15833.346000000001,9469.859999999404,4519.155899400001,5322.22648,4.83
-0.5,82.5,11.2,15019.456460000001,10602.160000000149,4489.8487924,5297.226460000001,0.77
4.7,63.3,8.1,11169.45338,10703.72000000067,4346.2439681000005,5358.33762,2.53
5.6,76.3,10.0,10280.56378,10640.63000000082,4607.0772204,5527.7822,2.97
6.5,76.3,7.7,9486.1187,11060.809999998659,4530.8787422000005,5472.2266,8.08
10.2,53.4,8.8,7488.894880000001,10863.700000001118,4885.494736900001,5591.67114,4.32
13.6,42.8,23.9,6297.227260000001,9446.439999999478,8683.6958041,5777.782400000001,6.25
13.4,41.6,10.7,5375.0043000000005,9095.870000001043,6374.295772500001,5794.44908,0.7
16.3,40.4,12.7,4805.5594,11067.789999999106,6318.6122692,5805.5602,4.85
13.2,44.8,11.4,5597.2267,11337.009999999776,4589.492956200001,5819.4491,2.46
13.5,60.0,10.1,4863.892780000001,11121.720000002533,6532.5541503,5830.56022,9.82
11.8,64.5,18.7,6575.005260000001,11682.849999999627,5134.6051464,5830.56022,3.02
6.8,78.1,15.2,9991.67466,11259.779999997467,4791.7119945,5650.00452,7.66
4.9,85.7,13.7,11177.786720000002,9769.009999999776,4756.543466100001,5630.560060000001,2.94
3.7,84.4,19.1,12033.342960000002,9662.290000002831,4800.5041266,5633.337840000001,1.81
5.7,66.1,15.4,10200.008160000001,10013.579999998212,4823.9498122,5661.11564,0.68
4.9,61.5,13.0,10561.119560000001,11714.26000000164,4850.326208500001,5608.337820000001,4.92
5.7,79.1,7.4,10725.00858,11365.209999999031,4920.6632653,5572.22668,1.66
10.5,58.8,7.3,7322.228080000001,11272.929999999702,4325.7289932,5616.67116,4.74
13.4,44.1,10.0,5463.893260000001,10351.050000000745,3428.931519,5711.11568,7.3
11.1,68.0,16.1,5969.44922,10098.829999998212,4387.273917900001,5702.782340000001,9.81
8.5,82.4,15.8,7205.561320000001,9953.500000001863,5533.1818016,5552.78222,6.52
9.6,54.3,7.0,6563.89414,11207.259999997914,4639.3150381000005,5411.1154400000005,6.52
12.6,47.0,10.5,5247.226420000001,11439.38000000082,8548.8831119,5619.44894,3.23
14.5,39.4,8.1,4633.33704,11136.950000001118,9322.5907367,5622.22672,7.78
17.3,38.9,7.9,3713.89186,11271.79999999702,7060.0820763,5686.11566,5.6
17.4,42.2,20.6,3722.2252000000003,10853.0800000038,7578.8178702000005,5894.44916,4.64
15.1,52.0,10.2,4275.003420000001,9438.23999999836,9105.7181449,5888.8936,3.33
18.0,47.7,8.3,3144.44696,9258.300000002608,9814.950134300001,5925.00474,5.54
19.2,41.1,12.5,2866.6689600000004,11070.03999999538,10096.298361500001,5872.226920000001,5.76
17.5,48.9,17.7,4711.114880000001,11365.790000000969,6535.484861000001,5886.115820000001,5.97
15.0,46.9,18.6,4602.78146,11440.26000000164,7276.9546681,5869.44914,3.59
14.6,42.8,12.2,3850.00308,11580.300000000745,7385.390964,5866.67136,8.0
11.5,64.8,15.4,4908.337260000001,11361.589999997988,5081.8523538,5780.56018,4.19
4.4,85.9,23.2,7480.561540000001,10061.090000001714,4677.4142772000005,5555.56,3.52
7.9,64.8,12.0,6000.004800000001,9801.490000000224,4803.4348373,5400.004320000001,4.17
10.6,59.3,10.5,5000.004000000001,11375.4199999962,5087.7137752,5413.89322,4.82
13.1,54.7,11.7,3738.8918800000006,11626.80000000447,9363.6206865,5583.337800000001,5.63
14.4,56.0,8.2,3227.78036,11363.269999995828,7142.141975900001,5647.22674,6.08
18.0,45.7,7.6,2300.00184,11479.860000001267,7487.965838500001,5608.337820000001,4.49
18.0,57.1,14.4,2063.89054,10835.490000000224,5263.5564172,5411.1154400000005,7.11
14.3,69.7,17.3,4069.4477,10174.270000001416,4920.6632653,5425.00434,3.59
15.4,53.6,13.3,3208.3359000000005,9968.269999999553,8912.291238700001,5372.22652,5.93
15.5,56.9,10.1,2855.55784,11111.859999999404,8487.3381872,5391.670980000001,5.93
15.9,61.0,14.5,2119.44614,10989.039999999106,4791.7119945,5655.56008,8.27
15.6,65.9,14.3,10683.341880000002,11168.780000001192,5134.6051464,5727.782360000001,7.49
10.2,72.7,23.8,1430.5567,11238.609999999404,5486.2904304,5705.56012,1.92
7.9,74.2,20.5,286.11134000000004,11089.429999999702,5193.2193604,5675.00454,4.27
8.9,87.4,22.8,241.66686,9913.099999999627,5363.200581000001,5638.893400000001,6.34
13.2,63.8,21.2,213.88906000000003,9728.020000001416,7593.471423700001,5669.44898,3.42
12.9,71.2,11.9,316.66692,11324.699999999255,5304.586367000001,5780.56018,0.5
13.0,60.0,12.8,136.11122,11268.150000000373,5366.1312917,5747.226820000001,2.43
12.7,63.7,13.5,76.39,11099.48999999836,5377.854134500001,5825.0046600000005,5.35
14.5,61.6,9.7,16.66668,11301.880000002682,6101.739677400001,5819.4491,47.68
12.6,85.5,13.0,213.88906000000003,10870.599999999627,5782.292211100001,5841.671340000001,27.93
13.8,53.6,11.0,730.55614,9837.339999999851,11037.056496199999,5805.5602,1.58
14.7,44.0,19.7,227.77796,9710.559999998659,9410.5120577,5852.78246,5.86
14.9,56.5,8.6,1058.33418,9923.480000000447,9152.609516100001,5847.226900000001,0.5
14.2,58.8,17.8,1144.4453600000002,10977.51000000164,8408.34006,5794.44908,1.62
11.3,66.5,9.4,566.6671200000001,11361.969999998808,8163.895420000001,5900.00472,2.74
12.0,71.9,9.7,391.66698,11710.330000001937,7947.22858,5925.00474,9.4
9.7,90.1,11.8,466.66704000000004,11413.429999999702,4488.89248,5925.00474,6.24
10.8,82.9,10.0,355.55584000000005,9712.25,7883.33964,5911.11584,1.61
14.7,78.1,15.0,461.11148000000003,9608.890000000596,8336.11778,5988.89368,0.5
13.7,76.6,10.1,630.55606,11225.569999996573,8750.007000000001,5905.560280000001,4.82
13.9,70.3,11.7,188.88904000000002,10953.190000003204,8161.11764,5952.78254,4.0
14.8,76.8,13.3,1372.2233200000003,11441.879999997094,8572.229080000001,8583.3402,2.13
17.9,62.1,11.5,1694.4458,11452.230000000447,9469.452020000002,5952.78254,3.61
17.3,68.5,11.1,1927.7793200000003,11560.420000001788,9650.007720000001,5819.4491,6.89
18.5,59.0,9.6,2147.2239400000003,10201.999999998137,10425.00834,5888.8936,2.88
17.7,65.2,14.0,3247.22482,10091.810000000522,9686.11886,5783.337960000001,5.4
15.9,64.8,13.6,2861.1134,11523.449999999255,8713.89586,5797.226860000001,5.4
15.9,60.5,7.8,3116.6691600000004,11881.240000000224,9072.22948,5913.89362,7.92
14.4,76.0,9.2,1041.6675,12032.620000002906,8050.006440000001,5983.33812,4.08
15.5,63.3,9.6,2400.00192,12113.909999998286,8408.34006,5947.22698,4.58
14.0,53.8,18.8,705.5561200000001,11788.73999999836,4952.781739999999,6738.894280000001,3.79
11.3,60.9,18.9,1333.3344,10201.86000000313,4955.559520000001,5838.89356,9.16
12.9,80.8,15.5,1900.00152,10177.059999996796,8219.45102,5808.33798,6.72
14.9,68.9,14.5,6077.78264,11174.85000000149,8625.0069,5675.00454,6.72
17.7,63.8,8.4,6955.56112,11819.919999999925,10341.674939999999,5641.67118,4.27
22.6,54.0,9.8,13594.455320000001,11851.38000000082,9666.6744,7438.894840000001,7.09
19.2,42.3,24.5,12447.23218,11790.160000000149,10786.11974,5677.782320000001,6.02
19.1,35.1,24.7,7866.672960000001,11581.539999997243,10275.008220000002,7877.78408,10.06
18.9,47.0,10.3,7713.895060000001,10057.57000000216,10702.78634,5769.44906,4.34
18.7,43.5,18.3,8580.56242,9973.339999997988,8436.11786,5797.226860000001,4.89
